Model,Precision,Recall,F1-Score,Train Time (s)
LogisticRegression,0.8500650065006501,0.85,0.8500112525318195,0.06032109260559082
DecisionTree,0.6549323308270677,0.655,0.654818652849741,0.8670639991760254
RandomForest,0.8046547314578005,0.8,0.7988869582735262,0.8382270336151123
NaiveBayes,0.8450035031528376,0.845,0.8449806128830519,0.0027017593383789062
